menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count
모듬꽃게장+10미뷔페|꽃게,모듬꽃게장+10미뷔페,모듬꽃게장+10미뷔페,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 여수시,1
모듬꽃게장+양념꽃게장정식|꽃게,모듬꽃게장+양념꽃게장정식,모듬꽃게장+양념꽃게장정식,꽃게,3,N,Y,해산물,식사,0.85,rule,9;10,전남 여수시,1
모듬꽃게장정식|꽃게,모듬꽃게장정식,모듬꽃게장정식,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 여수시,1
모듬순두부|두부,모듬순두부,모듬순두부,두부,1,Y,N,채소,식사,0.85,manual,5,전남 완도군,1
목살 김치 순두부|두부,목살 김치 순두부 등,목살 김치 순두부,두부,2,Y,N,육류;채소,식사,0.85,manual,5,전남 여수시,1
목포 먹갈치 구이 백반|갈치,목포 먹갈치 구이 백반,목포 먹갈치 구이 백반,갈치,0,N,N,해산물,식사,0.85,rule,7;8;9,전남 목포시,1
무등산 보리밥 정식|보리,무등산 보리밥 정식,무등산 보리밥 정식,보리,1,N,N,채소,식사,0.85,rule,3;6,광주 동구,1
묵은갓김치 고등어조림|고등어,묵은갓김치 고등어조림 등,묵은갓김치 고등어조림,고등어,2,N,N,해산물,식사,0.85,rule,9;10;11,전남 여수시,1
묵은지고등어|고등어,묵은지고등어,묵은지고등어,고등어,2,N,N,해산물;채소,식사,0.85,manual,9;10;11,전남 진도군,1
묵은지고등어조림|고등어,묵은지고등어조림 등,묵은지고등어조림,고등어,2,N,N,해산물,식사,0.85,rule,9;10;11,전남 무안군,1
민어|민어,민어,민어,민어,0,Y,N,해산물,식사,0.85,manual,6;7;8,전남 신안군,1
민어 초무침|민어,민어 초무침,민어 초무침,민어,2,N,N,해산물,식사,0.85,rule,6;7;8,전남 목포시,1
민어전|민어,민어전,민어전,민어,0,N,N,해산물,식사,0.85,rule,6;7;8,전남 목포시,2
민어탕|민어,민어탕,민어탕,민어,0,Y,N,해산물,식사,0.85,rule,6;7;8,광주 동구,1
민어회|민어,민어회,민어회,민어,0,N,Y,해산물,식사,0.85,rule,6;7;8,전남 목포시;전남 여수시,4
바지락 백반|바지락,바지락 백반 등,바지락 백반,바지락,1,N,N,해산물,식사,0.85,rule,2;3,전남 목포시,1
병어 조림|병어,병어 조림,병어 조림,병어,2,N,N,해산물,식사,0.7,rule,5;6;8,전남 신안군,1
병어사시미|병어,병어사시미,병어사시미,병어,0,N,Y,해산물,식사,0.85,rule,5;6;8,전남 목포시,1
병어조림|병어,병어조림,병어조림,병어,2,N,N,해산물,식사,0.85,rule,5;6;8,광주 광산구;전남 고흥군;전남 신안군;전남 완도군;전남 진도군,6
병어조림정식|병어,병어조림정식,병어조림정식,병어,2,N,N,해산물,식사,0.85,rule,5;6;8,전남 화순군,1
병어찜|병어,병어찜,병어찜,병어,2,N,N,해산물,식사,0.85,rule,5;6;8,전남 강진군;전남 목포시,3
보리밥 정식|보리,보리밥 정식,보리밥 정식,보리,1,N,N,채소,식사,0.85,rule,3;6,전남 담양군,1
보리애국|보리,보리애국,보리애국,보리,1,Y,N,채소,식사,0.85,rule,3;6,전남 나주시,1
붕장어 사시미|붕장어,붕장어 사시미 등,붕장어 사시미,붕장어,0,N,Y,해산물,식사,0.85,rule,5;6;7;8,전남 여수시,1
붕장어샤브샤브|붕장어,붕장어샤브샤브,붕장어샤브샤브,붕장어,0,Y,N,해산물,식사,0.85,rule,5;6;7;8,전남 여수시,1
붕장어유비끼|붕장어,붕장어유비끼,붕장어유비끼,붕장어,0,N,N,해산물,식사,0.85,rule,5;6;7;8,전남 여수시,1
산낙지|낙지,산낙지,산낙지,낙지,0,N,Y,해산물,식사,0.85,manual,1;9;10;11,전남 목포시;전남 여수시;전남 영암군;전남 장흥군,6
산낙지 해물 갈비탕|낙지,산낙지 해물 갈비탕,산낙지 해물 갈비탕,낙지,1,Y,Y,해산물;육류,식사,0.85,rule,1;9;10;11,전남 순천시,1
산낙지구이|낙지,산낙지구이,산낙지구이,낙지,0,N,Y,해산물,식사,0.85,rule,1;9;10;11,전남 영암군,1
